# 2900 → 2781 정비 내역 (2026-06-13)
# 삭제된 단어 (220개)
abolishment	폐지
access to	~에 대한 접근
act as	~로서 역할을 하다
admonish	훈계하다
aggrandize	과대평가하다
alleviation	경감
along with	~와 함께, ~에 따라
and yet	그렇지만, 그런데도
antagonize	적대시하다
antecedent	선행
anticipatory	예측하는
antipredatory	포식자 회피의
apartheid	인종차별정책
apart from	~외에도
apposite	적절한
appreciably	상당히, 주목할 만하게, 눈에 띄게
around the clock	24시간 내내, 24시간 계속되는
ask for	~을 부탁하다, ~을 요청하다
assistant professor	조교수
associated with	~와 연관된
assume a to be b	A가 B일 것이라 가정하다
as a result	결과적으로
as compared with	~와 비교하여
as such	따라서, 그처럼
attend to	~에 집중하다
attitudinal	태도적인
at best	기껏해야, 잘해야
at the age of	~의 나이로
at the level of	~의 수준에서
aversive	혐오스러운
a as well as b	B뿐만 아니라 A도
a host of	많은, 다수의
a rather than b	B보다 오히려 A
behind the scenes	제작 현장에, 무대 뒤에서
be dedicated to	~에 전념하다
be divided into	~로 나누어지다
be eager to do	간절히 ~하고 싶어하다
be into	~에 관심이 많다
be more likely to	~할 가능성이 더 높다
brain injury	뇌 손상
bring about	~을 생기게 하다, ~을 유발하다
broadcasting station	방송국
capstone	최종 완성
catastrophy	재앙
catch attention	관심을 붙잡다; 주목을 끌다
centrality	중심성
circumscribe	제한하다
circumspect	신중한
close to	~에 가까운, 친밀한
compared with	~와 비교하면
complementarity	상호보완
concentrate on	~에 집중하다
conceptualize	개념화하다
connect to	~와 이어지다, ~와 연결되다
contextualize	맥락짓다
conventional wisdom	일반 통념, 보편적인 생각
costeffective	비용 대비 효과적인
counterintuitive	반직관적인
credulous	잘 믿는
critical thinking	비판적 사고
cumulation	누적
deal with	~와 거래하다; 처리하다
decolonization	탈식민지화
deductive	연역적인
deferential	공손한
delineation	윤곽
denotation	외연
deontology	의무론
depending on	~에 따라
dialectic	변증법
dialectical	변증법적인
diminishment	감소
dogmatism	독단주의
domineering	지배적인
draftsmanship	제도, 제도공의 기술
dualism	이원론
effortful	노력이 필요한
egalitarianism	평등주의
egocentric	이기적인
elitism	엘리트주의
emotional contagion	감정 전염
empiricism	경험론
empiricist	경험론자
engage with	~에 몰입하다, 참여하다
enumeration	열거
ethnocentric	민족중심적인
euphemistic	완곡한
except with	~을 제외하고
exemplar	모범
existentialism	실존주의
explication	해설
fall over	~에 걸려 넘어지다
flippant	경솔한
flockmate	무리 구성원
fly off	날아오르다
foretell	예언하다
formalization	형식화
for free	무료로
for the sake of	~을 위해
free market	자유 시장
from time to time	때때로, 그때그때, 이따금
frugality	검약
good at	~에 능숙한
go into	~로 들어가다; 시작하다, 진입하다
growing season	재배 철, 식물 재배 기간
harmonize	조화시키다
heavy rain	폭우
hermeneutics	해석학
hiking stick	등산지팡이
hold attention	관심을 계속 붙들다
homogeneity	동질성
homogenize	균질화하다
human evolution	인류 진화
inclusivity	포용성
index finger	검지, 집게손가락
industrial age	산업 시대
informality	격식없음
inordinate	과도한, 지나친
instead of	대신에
interdependence	상호의존
internationalism	국제주의
interpersonal relationship	대인 관계
in a line	일렬로, 한줄로
in a snap	곧, 당장에, 순식간에
in reality	실제로
in silence	말없이, 조용히
in the long term	장기적으로
in the near future	조만간
isolationism	고립주의
judicious	현명한
lead to	로 이어지다
legal rule	법규
linchpin	중심축
live broadcast	생방송
macroeconomics	거시경제학
make a comparison	비교하다
make a into b	A를 B로 만들다
manual skill	(사람) 손기술, 손재주
microeconomics	미시경제학
motor system	운동계
myopic	근시안적인
nervous system	신경계
not always the case	항상 사실인 것은 아닌
no less	못지않은
no matter what	무슨 일이 있어도
no question	의심할 여지 없이
objectify	객체화하다
objectivism	객관주의
on hand	이용 가능한, 준비된
ostentatious	과시하는
outpace	앞지르다
over time	시간이 지나면서
paternalistic	부권적인
pay for	~에 대해 지불하다
pedantic	지나치게 형식적인
perfunctory	형식적인
period of time	기간
permeate	스며들다
perpetuation	영속화
prejudge	선입견을 갖다
presuppose	전제하다
proactivity	적극성
progressivism	진보주의
public transportation	대중교통
pugnacious	호전적인
purchase date	구입일
querulous	불평하는
race day	대회 당일
rationalism	이성주의
recalcitrant	완강히 저항하는
relativism	상대주의
rely upon	~에 의존하다
reorient	방향을 바꾸다
repositioning	재배치, 위치 재선정
reputational capital	평판 자본
reticent	말이 없는
reverent	경건한
roman empire	로마 제국 시대
sanctimonious	독선적인
sardonic	냉소적인
search for	~을 찾아보다
sedulous	부지런한
serve as	~을 역임하다, ~의 역할을 하다
short story	단편 소설
sign up for	~에 등록하다
simile	직유
soliloquy	독백
sophistry	궤변
speak of	~에 대해 말하다
spear tip	창 촉
sportscaster	스포츠 방송인
sportscasting	스포츠 방송
sports tourism	스포츠 관광
step in	끼어들다, 개입하다
subjectivism	주관주의
subplot	부차 이야기
sycophantic	아첨하는
syllogism	삼단논법
take advantage of	~을 활용하다
tangibly	가시적으로
thank a for b	A에게 B에 대해 고마워하다
the industrial age	산업 시대
the roman empire	로마 제국
thought control	사고 통제
tied to	~와 관련 있는
timorous	겁많은
tourist attraction	관광지, 관광 명소
trade secret	영업상의 비밀
trivialize	사소하게 여기다
undermaintain	제대로 관리하지 않다
underpin	뒷받침하다
underreport	축소보고하다
uneasiness	불안, 걱정, 불쾌
utilitarianism	공리주의
vacillating	망설이는
verbose	장황한
weather forecast	일기 예보, 기상 통보
well known	잘 알려진
with access to	~에 접근할 권리를 가진
worthiness	가치있음

# 추가/교정된 단어 (101개)
a as well as b
a host of
a rather than b
access to
act as
along with
and yet
apart from
around the clock
as a result
as compared with
as such
ask for
assistant professor
associated with
assume a to be b
at best
at the age of
at the level of
attend to
be dedicated to
be divided into
be eager to do
be into
be more likely to
behind the scenes
brain injury
broadcasting station
catch attention
close to
compared with
connect to
conventional wisdom
cost-effective
critical thinking
depending on
emotional contagion
engage with
except with
fall over
fly off
for free
for the sake of
free market
from time to time
go into
good at
growing season
heavy rain
hiking stick
hold attention
human evolution
in a line
in a snap
in reality
in silence
in the long term
in the near future
index finger
industrial age
instead of
interpersonal relationship
legal rule
live broadcast
make a comparison
make a into b
manual skill
motor system
nervous system
no less
no matter what
no question
not always the case
on hand
over time
pay for
period of time
public transportation
purchase date
race day
rely upon
roman empire
search for
serve as
short story
sign up for
speak of
spear tip
sports tourism
step in
take advantage of
thank a for b
the industrial age
the roman empire
thought control
tied to
tourist attraction
trade secret
weather forecast
well known
with access to
